DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
02/29/2020,0,4,0
03/01/2020,0,0,0
03/02/2020,0,4,0
03/03/2020,0,5,0
03/04/2020,1,5,0
03/05/2020,3,5,0
03/06/2020,1,2,0
03/07/2020,2,6,0
03/08/2020,5,9,0
03/09/2020,16,15,0
03/10/2020,11,13,0
03/11/2020,31,15,0
03/12/2020,96,26,0
03/13/2020,166,36,0
03/14/2020,163,36,1
03/15/2020,429,44,0
03/16/2020,738,82,1
03/17/2020,786,98,4
03/18/2020,968,110,6
03/19/2020,1209,147,6
03/20/2020,1140,186,10
03/21/2020,558,172,12
03/22/2020,757,181,10
03/23/2020,910,271,27
03/24/2020,1209,299,23
03/25/2020,1231,371,36
03/26/2020,1357,434,50
03/27/2020,1406,394,73
03/28/2020,849,350,74
03/29/2020,1121,409,87
03/30/2020,1746,494,106
03/31/2020,1493,466,122
04/01/2020,1591,463,129
04/02/2020,1636,404,163
04/03/2020,1442,401,135
04/04/2020,917,337,151
04/05/2020,1149,369,162
04/06/2020,1503,461,164
04/07/2020,1417,474,178
04/08/2020,1322,418,170
04/09/2020,1363,408,185
04/10/2020,1149,338,168
04/11/2020,1124,294,153
04/12/2020,700,259,199
04/13/2020,1061,339,157
04/14/2020,1033,271,153
04/15/2020,881,279,128
04/16/2020,881,242,123
04/17/2020,958,256,116
04/18/2020,574,175,113
04/19/2020,635,140,114
04/20/2020,979,210,94
04/21/2020,899,171,91
04/22/2020,854,157,104
04/23/2020,789,158,106
04/24/2020,627,138,93
04/25/2020,404,103,74
04/26/2020,332,88,60
04/27/2020,610,114,86
04/28/2020,715,118,57
04/29/2020,682,121,71
04/30/2020,599,94,65
05/01/2020,496,86,56
05/02/2020,263,60,46
05/03/2020,249,61,46
05/04/2020,463,88,41
05/05/2020,434,76,48
05/06/2020,451,73,37
05/07/2020,400,79,45
05/08/2020,349,77,42
05/09/2020,121,54,28
05/10/2020,191,41,24
05/11/2020,409,72,32
05/12/2020,400,56,33
05/13/2020,363,64,22
05/14/2020,332,58,14
05/15/2020,260,57,26
05/16/2020,163,45,21
05/17/2020,138,35,17
05/18/2020,269,53,15
05/19/2020,330,62,14
05/20/2020,308,47,20
05/21/2020,341,60,15
05/22/2020,367,58,13
05/23/2020,161,33,19
05/24/2020,176,35,12
05/25/2020,167,29,14
05/26/2020,334,31,10
05/27/2020,251,52,10
05/28/2020,225,44,14
05/29/2020,170,30,16
05/30/2020,104,28,11
05/31/2020,82,22,11
06/01/2020,245,34,10
06/02/2020,184,29,6
06/03/2020,125,33,10
06/04/2020,97,32,9
06/05/2020,92,16,5
06/06/2020,49,10,6
06/07/2020,42,11,5
06/08/2020,79,11,7
06/09/2020,55,11,2
06/10/2020,28,1,2
06/11/2020,2,0,0