FIPS,como_cancer5yr
12125,1135
31113,677.2
21197,646.2
21217,623.3
21201,611.6
21181,603
31009,598
46077,597.8
21065,597.4
21041,596.8
30037,596.4
31171,594.4
31163,593.5
19147,593.2
5147,592.7
22025,592.1
21193,590.7
21071,589.8
21223,589.5
21127,589.5
13227,580.8
21043,580.6
48373,576.4
30079,575
21189,574.6
46061,572.8
21167,572.7
21023,571.9
21237,571.7
37173,571.5
46097,569.8
54015,569.1
21049,566.7
54059,565.7
28161,565.6
17107,565.5
38065,564.3
21229,563.5
21171,563.1
54045,563
55125,562.8
13281,562.7
34009,561.5
36041,561.1
19053,560.6
21155,560
21051,560
21025,559.6
21121,559.5
21135,557
34033,556.5
21011,556.4
21173,555.9
19059,555.9
21129,555.9
39163,555.5
17039,554.2
36113,554
21149,553.5
21029,553.2
21203,553.2
42093,553.1
28051,553
17055,552.9
38075,551.8
21053,551.3
21095,549.8
26133,549.2
21125,549
21133,548.7
36029,548.5
46087,548.4
21131,548.3
17115,547.9
17171,547.5
21137,546.4
21207,546.2
18109,546.1
13291,546
36035,546
2290,545.7
17021,545.6
54101,545
51730,544.7
21195,544.4
47067,544.3
29093,543.7
13177,542.6
21179,542.4
46055,542
5111,542
19033,541.7
54005,541.3
5013,541.2
36063,541
17063,540.9
28037,540.8
21199,540.8
29083,540.8
40075,540.1
21079,540
21161,539.7
34015,539.5
13287,538.8
21005,538.7
21093,538.5
51183,538.3
28011,538.1
19073,537.8
17137,537.6
21069,536.9
22037,536.8
12053,536.7
21081,536.5
46099,536.4
13293,536.2
46127,535.8
21147,535.7
30061,535.3
22035,535.1
36013,535.1
38073,535
10001,534.8
22067,534.4
30103,533.9
17065,533.7
21115,533.6
21085,533.2
21099,533.1
21183,533.1
17003,533.1
46107,533
12089,532.9
26143,532.7
21111,532.7
17121,532.6
36045,532.5
21017,532.4
19133,532.4
55085,532.4
36075,532.2
22047,531.9
17061,531.8
17025,531.6
13187,531.1
21185,530.9
36121,530.6
47025,530.6
41055,530.4
36103,530.3
17017,530.3
17153,530.1
21087,529.9
42047,529.7
34005,529.6
36083,529.4
21057,529.3
36017,528.8
38081,528.7
17167,528.7
22097,528.4
36091,528.3
22031,528.3
42095,528
51620,527.8
29133,527.8
22121,527.4
47005,527.1
30029,527
32009,526.9
29127,526.7
36073,526.6
13029,526.5
5095,526.4
21019,526.4
28043,526
21153,525.8
21141,525.7
22013,525.7
38043,525.5
21089,525.4
31071,525.4
19003,525.1
29187,525
21235,525
21211,524.8
12031,524.4
21059,524.3
21191,524.2
31129,524
54011,523.9
31087,523.7
38059,523.7
54041,523.4
51073,523.2
21097,523.2
55041,523.1
21165,523.1
38083,522.8
1017,522.8
13255,522.6
5021,522.4
51101,522.3
18145,522.3
21103,522.2
33001,522.1
5053,522
21077,521.9
18077,521.9
17129,521.9
36085,521.8
13195,521.7
47017,521.7
17105,521.6
24045,521.3
19067,521.3
51125,521.2
24015,521
51820,520.9
28157,520.8
29205,520.5
31075,520.4
5141,520.4
13277,520.4
54093,520.4
21061,519.8
34029,519.8
17081,519.8
34007,519.8
19145,519.6
17199,519.5
36079,519.4
47115,519.4
28143,519.2
37171,519.2
36009,519
19177,519
38033,518.8
19027,518.8
21225,518.7
28163,518.7
21163,518.2
36043,518
42113,518
17181,517.9
19063,517.9
28133,517.9
54105,517.8
21139,517.8
36067,517.8
36001,517.8
37157,517.7
18083,517.5
36117,517.5
34025,517.4
21037,517.4
18149,517.4
37059,517
28035,517
17099,516.9
40049,516.9
36039,516.9
36015,516.8
51790,516.6
46069,516.6
21031,516.4
30095,516.2
36097,516.2
26055,516
21075,516
1127,515.8
13159,515.7
54043,515.5
23029,515
21169,514.9
18053,514.8
21113,514.3
51131,514.2
46041,514.1
37151,514
36003,513.8
45023,513.4
30017,513.3
36011,513.3
1085,513.3
13239,513.1
21205,513.1
36057,513
13119,512.9
21009,512.7
21073,512.7
34011,512.5
30087,512.3
5075,512.2
17183,512.1
21151,512.1
19137,512
46023,511.9
28091,511.9
12017,511.8
46115,511.4
13143,511.4
22109,511.3
47151,511.3
18159,511.2
13065,511.2
47043,511
21187,511
37133,511
19069,510.9
21013,510.8
47013,510.8
47169,510.7
19139,510.7
21109,510.7
36023,510.6
19179,510.5
48281,510.4
46011,510.2
42131,510.2
47153,510.1
48483,510.1
12083,510.1
26165,510.1
1047,510
42101,509.9
13157,509.9
45087,509.8
47133,509.7
39119,509.6
36059,509.4
13217,509.3
28027,509.3
5085,509.2
13013,509.2
29223,509.1
47021,509
55101,508.9
13303,508.8
13233,508.8
18139,508.8
21219,508.8
30059,508.7
13189,508.7
13149,508.6
51670,508.6
51075,508.6
42079,508.6
5039,508.5
21215,508.5
46003,508.4
13257,508.3
29055,508
26163,507.9
5145,507.8
12019,507.8
42125,507.5
36019,507.5
37105,507.3
19025,507.3
17193,507.2
36037,507.2
21209,507.2
42045,507.1
19083,507
42081,507
17093,507
30069,507
40025,506.9
34037,506.9
51530,506.9
28113,506.7
22115,506.7
13273,506.6
5117,506.6
19057,506.6
40111,506.5
37137,506.5
29123,506.4
39131,506.3
34021,506.2
19023,506.1
21213,506.1
30053,506.1
13225,506.1
23019,506
47121,505.8
19039,505.6
42037,505.5
42107,505.4
26011,505.4
36099,505.3
38055,505.3
13259,505.2
36065,505.1
39117,505
40037,504.9
17041,504.8
22099,504.8
47135,504.6
54049,504.6
17151,504.6
17149,504.2
17053,504.2
21239,504.1
44003,504
53027,504
21027,503.9
31177,503.6
13237,503.6
28151,503.3
51097,503.3
33015,503.2
28013,503.1
51135,503.1
53035,503.1
36123,503
31099,502.9
28141,502.9
21123,502.7
54025,502.7
22113,502.7
55099,502.5
5003,502.5
42023,502.4
18009,502.3
21045,502.3
17011,502.3
42077,502.2
31053,502.2
12101,502.2
31151,502.1
24025,502.1
47173,502
54019,501.9
42085,501.9
37045,501.6
36071,501.5
34041,501.5
22021,501.4
38097,501.4
17165,501.3
18021,501.3
55127,501.3
21119,501.3
36053,501.2
47057,501.2
37107,501.1
37159,501
22103,500.8
17179,500.8
55075,500.6
17123,500.6
37165,500.6
21159,500.5
55129,500.5
40059,500.5
13057,500.5
51025,500.5
19097,500.4
39167,500.4
37177,500.3
22001,500.3
21117,500.3
17013,500.2
21021,500.2
18025,500.1
47161,500.1
48455,500
40101,500
5011,499.9
36049,499.9
19171,499.5
42039,499.4
19061,499.4
19129,499.3
29201,499.1
5025,499.1
18007,499
28081,499
55079,499
54087,499
51033,498.9
26099,498.8
47111,498.8
33013,498.7
24001,498.7
28047,498.6
40087,498.4
22101,498.4
28063,498.4
30049,498.2
46075,498.1
53053,498
47143,498
13021,498
51630,497.9
39001,497.9
12069,497.8
55003,497.7
6089,497.6
53009,497.5
17117,497.4
17005,497.4
39043,497.3
22119,497.3
5105,497.1
17135,497
40057,497
17169,497
28083,496.9
18079,496.7
40085,496.6
16079,496.5
37087,496.5
36055,496.4
46035,496.4
17103,496.2
38079,496.2
47119,496.1
17037,496.1
21157,496.1
17159,496.1
51091,496
13045,496
29015,495.9
5121,495.9
37077,495.8
5051,495.8
5069,495.7
16045,495.7
42097,495.6
47069,495.6
1001,495.6
13171,495.5
36007,495.4
42007,495.2
19159,495.1
23021,495
22055,495
47105,494.9
17147,494.9
13211,494.9
29049,494.9
51181,494.8
54021,494.8
22041,494.7
13117,494.6
12075,494.6
13207,494.5
54003,494.5
28125,494.5
42017,494.4
17143,494.3
55001,494.3
42019,494.3
33017,494.3
12107,494.3
40055,494.2
17091,494.2
5001,494.1
28029,494.1
51570,494
37103,494
46053,494
36069,493.9
13055,493.9
19079,493.7
21039,493.7
18075,493.5
42003,493.5
13035,493.4
19031,493.4
29139,493.3
10005,493.3
51147,493.3
18133,493.3
29141,493.2
29207,493.1
21177,493.1
42121,492.9
39091,492.9
36051,492.9
13133,492.9
22087,492.9
47083,492.8
13111,492.8
46027,492.7
28109,492.7
37071,492.6
42005,492.6
22093,492.6
46095,492.5
34001,492.3
22039,492.3
22003,492.1
46045,492
46117,492
29053,491.9
17197,491.9
12029,491.9
47049,491.8
24019,491.7
42001,491.7
21145,491.5
25007,491.4
17049,491.3
13223,491.3
40035,491.2
5019,491.1
22117,491.1
28053,491.1
51127,491.1
47139,491
39087,491
39159,490.9
21101,490.9
23017,490.9
39145,490.7
37001,490.7
21055,490.6
48225,490.5
40073,490.5
21067,490.4
47073,490.4
22073,490.4
47117,490.2
29033,490.2
28155,490.1
47155,490
42025,490
13173,490
28095,490
12105,489.9
22053,489.9
28031,489.8
48277,489.8
13139,489.7
53045,489.7
55059,489.7
37049,489.6
17157,489.6
36077,489.6
18167,489.6
50009,489.5
46047,489.5
54009,489.5
42073,489.4
5037,489.4
31121,489.4
47061,489.4
53031,489.2
10003,489.1
26035,489
13319,489
54039,488.9
13285,488.9
5139,488.9
21033,488.9
34027,488.8
30111,488.7
37111,488.6
13027,488.6
46005,488.5
13199,488.5
26119,488.5
29071,488.5
54033,488.3
54029,488.2
12023,488.2
28079,488.2
42133,488.1
51109,488.1
13305,488.1
22057,488.1
1131,488
39079,487.9
37067,487.9
17109,487.8
13215,487.7
19135,487.6
17189,487.6
42123,487.6
13137,487.6
8061,487.5
55021,487.5
44009,487.5
17119,487.3
36093,487.2
47051,487.1
1075,487.1
24039,487.1
19013,487.1
16055,487.1
17079,487.1
29177,487
36115,487
37083,486.9
22007,486.9
55017,486.8
48191,486.8
55105,486.8
9015,486.8
24510,486.7
37181,486.7
19029,486.7
48183,486.6
19093,486.6
13005,486.5
5103,486.4
47185,486.4
21143,486.4
39123,486.3
31097,486.2
36021,486.2
45085,486.1
1039,486
24013,486
42111,486
23031,485.9
46125,485.9
1051,485.8
38061,485.8
19087,485.6
19125,485.6
53067,485.6
13017,485.5
9007,485.5
16075,485.5
42129,485.4
22045,485.4
19127,485.3
42059,485.3
12009,485.3
18143,485.2
17125,485.2
39059,485.1
24047,485.1
29021,484.9
47085,484.8
5119,484.6
31001,484.6
28131,484.6
55077,484.4
5045,484.4
13241,484.3
29045,484.3
13103,484.3
9005,484.2
21007,484.2
30105,484.1
28057,484
42015,484
21001,484
22091,483.9
39083,483.9
37121,483.8
19165,483.8
21083,483.6
5067,483.6
48213,483.5
22123,483.5
12005,483.5
13151,483.5
37117,483.4
37035,483.4
13321,483.3
24005,483.3
51111,483.3
42057,483.2
19111,483.2
42091,483.1
21107,483.1
47009,483
17187,483
53061,483
26125,483
42051,482.8
21233,482.8
23009,482.8
13297,482.8
48239,482.7
22019,482.7
24011,482.6
19065,482.6
54079,482.6
39065,482.5
42029,482.3
21227,482.3
13095,482.2
29099,482.2
18091,482.1
19163,482.1
23027,482
40063,482
13261,481.9
19045,481.8
19193,481.8
48241,481.8
13053,481.7
18045,481.6
44005,481.6
28123,481.5
35021,481.5
50013,481.4
1011,481.3
2180,481.3
25019,481.3
5023,481.3
18165,481.3
55057,481.2
36087,481.2
23003,481.2
47101,481.1
37039,481
31133,481
37043,481
13219,481
37081,481
22051,481
38017,480.9
28077,480.9
17139,480.9
5125,480.9
37027,480.9
47097,480.8
13015,480.8
48027,480.8
37097,480.8
31127,480.7
42013,480.7
40099,480.7
42117,480.7
54103,480.7
12093,480.6
13221,480.6
40143,480.4
42065,480.3
13123,480.3
13079,480.3
12035,480.2
1113,480.2
51193,480.2
5089,480.2
29111,480.1
18019,480.1
19113,480
47079,480
19019,479.9
13275,479.9
6103,479.9
12109,479.8
42011,479.8
34019,479.8
55031,479.8
22127,479.7
42021,479.7
55039,479.7
13201,479.7
51081,479.7
28107,479.6
48181,479.5
21221,479.5
22079,479.4
36089,479.4
31111,479.4
18067,479.3
13311,479.3
28139,479.3
26155,479.2
19041,479.1
22017,479.1
26049,479
18095,479
51057,479
18031,478.8
1055,478.7
55133,478.7
29163,478.7
51037,478.7
36119,478.6
42089,478.6
55131,478.5
54055,478.4
1007,478.3
17145,478.2
45077,478.2
39141,478.2
13251,478.2
13009,478.2
41069,478.2
19151,478.1
29169,478.1
31101,478
29115,477.9
51015,477.9
54081,477.8
12057,477.8
47031,477.7
13129,477.7
42069,477.6
13075,477.6
54073,477.6
36101,477.6
17131,477.6
30085,477.4
28117,477.4
28135,477.3
48331,477.2
51740,477.2
29011,477.1
9009,477.1
36025,477.1
25001,477.1
39085,477.1
30043,477
31079,476.9
19169,476.9
42033,476.7
22033,476.6
40019,476.6
47171,476.5
51175,476.5
19075,476.5
18029,476.5
47147,476.5
17073,476.5
13063,476.5
39023,476.4
29227,476.4
12033,476.4
24043,476.4
47029,476.4
55083,476.4
39089,476.3
39035,476.3
53029,476.2
19141,476.2
22023,476.2
19071,476.2
51149,476.1
39047,476.1
37023,476
17201,475.9
21015,475.9
29073,475.9
29510,475.7
25023,475.6
23013,475.6
19055,475.6
1123,475.6
50021,475.5
39015,475.5
17163,475.5
55043,475.5
13205,475.5
39003,475.5
48487,475.4
48119,475.4
17033,475.4
36027,475.3
42049,475.2
45059,475.2
17173,475.1
29097,475.1
37025,475
13097,474.9
26079,474.9
18059,474.8
24029,474.8
54107,474.7
39143,474.7
38021,474.6
39103,474.6
19183,474.5
37139,474.5
42075,474.5
37167,474.4
31025,474.3
45083,474.3
39021,474.3
29107,474.3
55029,474.3
17195,474.2
31021,474.2
39129,474.2
23001,474.2
37057,474.1
5031,474.1
9011,474
1115,474
33011,474
42105,473.9
28017,473.9
37191,473.9
19015,473.7
47141,473.7
39135,473.7
17175,473.7
13169,473.7
19081,473.7
13033,473.6
37125,473.5
55117,473.4
48099,473.4
39133,473.4
17191,473.3
46043,473.3
29189,473.2
54053,473.1
17075,473
21175,472.9
46029,472.9
28087,472.9
55113,472.8
26045,472.7
37055,472.7
36031,472.6
45021,472.6
54047,472.5
53057,472.5
18043,472.5
31065,472.5
5005,472.4
51580,472.4
31055,472.3
53073,472.3
45007,472.3
1025,472.1
1083,472.1
13155,472
36107,471.9
42043,471.9
48073,471.8
18063,471.8
26047,471.7
39105,471.6
38057,471.5
13067,471.5
30089,471.5
47129,471.5
6021,471.4
55067,471.3
1087,471.3
1093,471.3
37169,471.1
19155,471.1
21003,471.1
37041,471.1
28101,471.1
37021,471.1
45041,471.1
39127,471.1
51650,471
28089,470.9
37085,470.6
1079,470.5
38031,470.4
22005,470.3
17023,470.3
18097,470.3
51690,470.2
44001,470.2
17057,470.2
19085,470.1
51085,470.1
22063,470.1
39025,470
36111,470
45061,470
48257,469.9
40089,469.9
51710,469.9
19103,469.8
45067,469.7
47063,469.7
51005,469.6
54035,469.6
55107,469.6
22077,469.6
12121,469.5
28061,469.5
28049,469.5
55089,469.5
16027,469.4
13247,469.4
21231,469.3
18089,469.2
1041,469.2
42031,469.2
47109,469.2
45035,469.1
55139,469.1
39061,469.1
47001,469
18153,469
13023,469
18035,468.9
18131,468.9
28045,468.8
19149,468.8
47089,468.7
13245,468.6
24035,468.6
40109,468.5
51775,468.4
26031,468.4
13121,468.3
5077,468.3
1063,468.2
39077,468.2
9003,468.2
42083,468.2
18071,468.1
51133,468.1
37161,468
5009,467.9
22075,467.9
6007,467.9
13299,467.8
13181,467.7
34003,467.7
9001,467.7
44007,467.7
18065,467.6
39101,467.6
39095,467.6
51800,467.6
51001,467.5
45089,467.5
50003,467.4
36095,467.4
48147,467.3
13077,467.2
34035,467.1
17027,467
40141,467
41013,467
31147,466.9
13105,466.9
26029,466.8
39027,466.7
19189,466.7
40065,466.7
40107,466.7
6061,466.7
42087,466.7
1103,466.7
13115,466.6
5107,466.5
18119,466.5
48005,466.5
19153,466.4
28127,466.3
22083,466.2
26157,466.1
45055,466.1
39113,466
5129,466
39031,466
19187,465.9
37089,465.8
36033,465.8
55071,465.8
28097,465.7
47163,465.7
29047,465.7
40015,465.6
12103,465.6
24003,465.5
5063,465.4
47165,465.4
22095,465.4
18061,465.4
1027,465.4
47093,465.4
17059,465.3
42099,465.3
54099,465.3
5143,465.3
47059,465.3
40083,465.3
16039,465.2
22125,465.2
17141,465.1
48251,465.1
51065,465.1
39049,465
25021,465
13069,465
19105,465
45045,464.9
49009,464.8
39093,464.8
13131,464.7
45029,464.6
23011,464.6
12001,464.6
19091,464.5
49013,464.5
39081,464.5
51810,464.4
45031,464.4
45027,464.3
50019,464.3
12115,464.3
26007,464.3
18135,464.2
33007,464.2
47177,464.2
18163,464.2
39005,464.2
37183,464.2
17127,464.1
41007,464
54063,464
46015,464
54027,463.9
33003,463.9
17015,463.9
18081,463.8
22059,463.8
13099,463.7
45091,463.7
29001,463.7
29181,463.7
54085,463.6
23005,463.5
25027,463.5
45015,463.4
42035,463.4
17113,463.3
55019,463.3
5149,463.3
48427,463.2
40137,463.2
17095,463.1
45043,463
47039,463
19095,462.9
48231,462.9
53015,462.8
22069,462.8
40071,462.8
47033,462.7
19107,462.7
37031,462.7
51735,462.6
21047,462.6
38003,462.6
40123,462.5
46051,462.5
47071,462.5
22027,462.4
49045,462.4
16063,462.4
42115,462.4
40117,462.4
19077,462.4
51053,462.4
55009,462.4
17185,462.3
26075,462.3
22105,462.2
45019,462.2
29023,462.2
48223,462.1
22089,462
18093,462
19109,462
47123,462
48467,462
50027,462
29061,461.9
38051,461.9
45051,461.9
22015,461.8
39139,461.8
19181,461.7
48307,461.6
28005,461.6
29007,461.5
16061,461.4
22009,461.3
30073,461.3
47179,461.2
18015,461.2
48063,461.2
48403,461.2
41005,461.2
18047,461.1
31153,461.1
29121,461
46111,461
16069,461
5135,461
33019,460.9
30067,460.9
48375,460.9
47167,460.8
54097,460.7
31023,460.7
28001,460.7
17001,460.7
22085,460.6
18023,460.5
51095,460.4
46013,460.4
19011,460.3
53007,460.3
46065,460.2
8079,460.2
38015,460.2
31125,460.2
26021,460.1
1029,460.1
13175,460
17101,460
13059,460
5033,460
29183,460
45069,459.9
5055,459.9
16035,459.9
37141,459.8
37011,459.8
55069,459.8
38103,459.8
16059,459.8
13231,459.7
17087,459.7
40115,459.7
42009,459.7
29113,459.6
49001,459.6
24009,459.6
47053,459.5
39155,459.5
39069,459.4
28093,459.4
37199,459.4
37019,459.4
37109,459.3
25009,459.3
29101,459.3
48115,459.3
30097,459.3
37187,459.3
5093,459.2
39071,459.2
47145,459.2
47095,459
47131,459
29095,458.9
53047,458.9
13279,458.9
54069,458.8
47015,458.7
50007,458.7
34023,458.6
31069,458.6
13185,458.6
22049,458.6
31057,458.5
28067,458.5
41047,458.4
36105,458.4
47077,458.4
47157,458.3
19047,458.3
17085,458.3
31011,458.2
33005,458.2
13147,458.2
28121,458.2
47065,458.1
51165,458.1
17043,458.1
9013,458.1
47075,458
30007,457.9
17067,457.9
46039,457.9
21035,457.9
18177,457.9
48233,457.9
51770,457.8
53013,457.8
51760,457.8
55013,457.7
39107,457.6
12007,457.6
22029,457.4
13145,457.4
28147,457.4
51177,457.4
34013,457.4
1071,457.4
51700,457.3
37145,457.3
29221,457.3
40067,457.3
51115,457.3
29027,457.2
38101,457.2
26159,457.2
13301,457.1
13113,457.1
17007,457
5131,457
26137,457
42071,456.9
51678,456.8
38035,456.8
39033,456.7
17047,456.7
1119,456.7
13039,456.7
41051,456.6
26063,456.6
45057,456.6
16023,456.6
5109,456.5
40095,456.5
51119,456.3
38011,456.3
28065,456.3
31155,456.2
29159,456.1
51139,456.1
17111,456
18127,456
13153,455.9
28115,455.7
42103,455.7
24041,455.6
1073,455.5
37069,455.5
18129,455.5
16001,455.3
13127,455.3
28059,455.2
19161,455.2
46089,455.1
5081,455.1
13011,455.1
13071,454.9
33009,454.9
48367,454.9
37127,454.8
12085,454.8
31059,454.8
5043,454.7
28021,454.7
48459,454.7
38009,454.7
29037,454.6
37051,454.6
39045,454.6
54037,454.6
31181,454.6
26065,454.6
